Date, Charge Capacity ,Full Charge Capacity
2025-07-14," 58,166 "," 58,000 "
2025-07-21," 57,937 "," 58,000 "
2025-07-28," 57,328 "," 58,000 "
2025-08-04," 56,310 "," 58,000 "
2025-08-11," 56,450 "," 58,000 "
2025-08-18," 57,036 "," 58,000 "
2025-08-25," 57,192 "," 58,000 "
2025-09-01," 57,453 "," 58,000 "
2025-09-08," 57,477 "," 58,000 "
2025-09-15," 56,938 "," 58,000 "
2025-09-22," 56,687 "," 58,000 "
2025-09-29," 57,014 "," 58,000 "
2025-10-06," 56,840 "," 58,000 "
2025-10-13," 56,338 "," 58,000 "
2025-10-20," 56,497 "," 58,000 "
2025-10-27," 55,439 "," 58,000 "
2025-11-03," 56,229 "," 58,000 "
2025-11-10," 54,164 "," 58,000 "
2025-11-17," 54,462 "," 58,000 "
2025-12-04," 54,491 "," 58,000 "
2025-12-26," 54,466 "," 58,000 "
2026-01-05," 53,930 "," 58,000 "
2026-01-12," 54,114 "," 58,000 "
2026-01-19," 53,525 "," 58,000 "
2026-01-26," 52,154 "," 58,000 "
2026-02-02," 52,540 "," 58,000 "
2026-02-09," 52,852 "," 58,000 "
2026-02-16," 51,675 "," 58,000 "
2026-02-23," 49,632 "," 58,000 "
2026-03-02," 49,934 "," 58,000 "
2026-03-09," 48,914 "," 58,000 "
2026-03-16," 48,105 "," 58,000 "
2026-03-23," 48,065 "," 58,000 "
2026-03-30," 48,677 "," 58,000 "
2026-04-06," 47,959 "," 58,000 "
2026-04-13," 46,031 "," 58,000 "
2026-04-20," 45,662 "," 58,000 "
2026-04-27," 45,425 "," 58,000 "
2026-05-04," 45,724 "," 58,000 "
2026-05-11," 45,952 "," 58,000 "
2026-05-18," 46,755 "," 58,000 "
2026-05-25," 46,316 "," 58,000 "
2026-06-01," 45,857 "," 58,000 "
2026-06-08," 44,982 "," 58,000 "
2026-06-15," 45,446 "," 58,000 "
2026-06-22," 45,124 "," 58,000 "
2026-06-29," 44,698 "," 58,000 "
2026-07-06," 44,516 "," 58,000 "
2026-07-13," 44,030 "," 58,000 "
2026-07-20," 44,581 "," 58,000 "
2026-07-27," 45,793 "," 58,000 "
2026-08-03," 44,685 "," 58,000 "
2026-08-10," 44,532 "," 58,000 "
2026-08-17," 44,491 "," 58,000 "
2026-08-24," 44,462 "," 58,000 "
2026-08-24," 44,440 "," 58,000 "
2026-08-25," 44,440 "," 58,000 "
2026-08-26," 44,440 "," 58,000 "
2026-08-27," 44,440 "," 58,000 "
2026-08-28," 44,440 "," 58,000 "
2026-08-29," 44,435 "," 58,000 "
2026-08-30," 44,425 "," 58,000 "
2026-08-31," 44,420 "," 58,000 "
2026-09-01," 44,420 "," 58,000 "
